league,estimator,tau,coverage,mean_set_size,n_cal,n_test,coverage_gap
D1,model,0.8699758657104919,0.9198949441891004,2.523965856861458,1523,1523,0.019894944189100428
E0,model,0.8841714155460003,0.9176346356916578,2.479936642027455,1894,1894,0.017634635691657796
E1,model,0.8531590495273458,0.9238026124818578,2.6712626995645863,2755,2756,0.023802612481857777
E2,model,0.8120165525759744,0.916590284142988,2.6562786434463797,542,1091,0.01659028414298802
F1,model,0.8667606191465206,0.9108322324966975,2.52113606340819,1512,1514,0.010832232496697514
I1,model,0.8997609410096618,0.9120951751487112,2.4930601454064774,1513,1513,0.012095175148711168
N1,model,0.8240956974001872,0.9165275459098498,2.4106844741235394,296,599,0.016527545909849728
SC0,model,0.8785428825798233,0.9209302325581395,2.4790697674418603,859,860,0.020930232558139528
SP1,model,0.8957979719001778,0.9207920792079208,2.5702970297029704,1513,1515,0.02079207920792081
D1,market,0.7820541295967967,0.9001969796454367,2.3138542350623768,1523,1523,0.0001969796454366346
E0,market,0.792574474134921,0.9033790918690602,2.2946145723336855,1894,1894,0.003379091869060158
E1,market,0.7501180254717902,0.9020319303338171,2.4550072568940493,2755,2756,0.0020319303338171
E2,market,0.7537555983943611,0.918423464711274,2.5123739688359303,542,1091,0.018423464711273985
F1,market,0.768830013487865,0.8956406869220608,2.3190224570673714,1512,1514,-0.004359313077939242
I1,market,0.7803086184083913,0.8942498347653668,2.206212822207535,1513,1513,-0.005750165234633231
N1,market,0.7850672205803702,0.8998330550918197,2.2170283806343907,296,599,-0.00016694490818036645
SC0,market,0.7738157116107935,0.8965116279069767,2.2267441860465116,859,860,-0.0034883720930233286
SP1,market,0.7741072587715666,0.897029702970297,2.3056105610561057,1513,1515,-0.002970297029702973
