league,gamma_hat,gamma_se,ci_low,ci_high,se_boot,n_boot_success
Pooled,0.04588089817991177,0.01312091396601121,0.021065323472951886,0.0700666382784178,0.012627768292573333,1000
D1,-0.022752039555463368,0.037033806984879514,-0.09651927567791381,0.04726705350856965,0.03598234813233281,1000
E0,0.015374885037244726,0.030722958355470627,-0.04732131764018722,0.07413248917754126,0.03140230584991993,1000
E1,0.0876867644602188,0.04493678846241643,-0.0007901272886058279,0.17938558946133978,0.04525453562075036,1000
E2,0.22047743849046494,0.08911738225651859,0.045071414011641255,0.38906232044477784,0.0883332330385559,1000
F1,0.057110371983903674,0.037054072422797006,-0.016700308853197666,0.12890861305904444,0.0366882297113497,1000
I1,0.11411730490944505,0.03215862614394816,0.050820132111173595,0.17981230949298324,0.032270769764880664,1000
N1,0.050219115700042664,0.054105971195690494,-0.05063999248933662,0.14797454399027496,0.05210402599289161,1000
SC0,0.04980879294715243,0.041141462892721574,-0.026019628803922383,0.12519271233825752,0.03959275384675917,1000
SP1,0.02171098255719471,0.034766654198523206,-0.04432301129537956,0.08889807445341454,0.03484129032809917,1000
