league,gamma_norm,gamma_se_norm,t_stat_norm,p_value_norm,n_matches,n_obs,alpha,alpha_se,converged,gamma_inv,gamma_se_inv,t_stat_inv,p_value_inv
Pooled,0.04588089817991177,0.01312091396601121,3.496776085779006,0.00047091692245713893,18538,55614,-0.015135620543137062,0.004338657964281802,True,-0.0029632425548237877,0.012567195007735212,-0.23579188140232468,0.8135941682614052
D1,-0.022752039555463368,0.037033806984879514,-0.6143586470802953,0.53897835582733,2142,6426,0.007346933990478403,0.012225015493544154,True,-0.06766810615196171,0.03536347138748074,-1.9135029310475824,0.055683698639991744
E0,0.015374885037244726,0.030722958355470627,0.5004363466354478,0.616767865934037,2660,7980,-0.0043090054301496575,0.010170176671390327,True,-0.01814139096832206,0.029731473990293467,-0.6101746241792365,0.5417461375439784
E1,0.0876867644602188,0.04493678846241643,1.9513358088230306,0.05101711200508733,3863,11589,-0.029145996648246186,0.014939360024917735,True,0.04496178674697975,0.04322010244934827,1.0402980140936187,0.29820146655524615
E2,0.22047743849046494,0.08911738225651859,2.474011611515192,0.013360535434494041,1104,3312,-0.07287367556377637,0.029725147452005628,True,0.14935335612352682,0.08376127585159664,1.7830835861208993,0.07457269792059824
F1,0.057110371983903674,0.037054072422797006,1.541271127563493,0.12325081278102733,2279,6837,-0.018527433797337803,0.012260458806242687,True,0.008947672589110722,0.035000306367571586,0.25564555050297794,0.7982245425846047
I1,0.11411730490944505,0.03215862614394816,3.5485752531415415,0.0003873213052429593,2279,6837,-0.03762692048568437,0.010614188417090855,True,0.061783783242951446,0.030510580109950003,2.0249953629299475,0.0428678403811168
N1,0.050219115700042664,0.054105971195690494,0.9281621712030664,0.35332345385598074,612,1836,-0.016694924738232978,0.017682052577546875,True,-0.005353786727001184,0.05240753495871283,-0.10215681258847512,0.9186322069131567
SC0,0.04980879294715243,0.041141462892721574,1.210671411394178,0.22602136334304845,1319,3957,-0.017185337584715327,0.01350202138647918,True,-0.012312909910409932,0.03914349289488256,-0.31455828286646503,0.7530970577371561
SP1,0.02171098255719471,0.034766654198523206,0.6244771910814741,0.53231424510999,2280,6840,-0.007401454442547745,0.011475414871991123,True,-0.029874750969628633,0.03337338300356141,-0.8951669948006343,0.3706978252425108
