league,gamma,gamma_se,t_stat,p_value,n_matches,n_obs,alpha,alpha_se,converged,p_bonferroni,p_bh,sig_bonferroni,sig_bh
Pooled,0.04588089817991177,0.01312091396601121,3.496776085779006,0.00047091692245713893,18538,55614,-0.015135620543137062,0.004338657964281802,True,,,,
D1,-0.022752039555463368,0.037033806984879514,-0.6143586470802953,0.53897835582733,2142,6426,0.007346933990478403,0.012225015493544154,True,1.0,0.6063506503057463,,
E0,0.015374885037244726,0.030722958355470627,0.5004363466354478,0.616767865934037,2660,7980,-0.0043090054301496575,0.010170176671390327,True,1.0,0.616767865934037,,
E1,0.0876867644602188,0.04493678846241643,1.9513358088230306,0.05101711200508733,3863,11589,-0.029145996648246186,0.014939360024917735,True,0.459154008045786,0.153051336015262,,
E2,0.22047743849046494,0.08911738225651859,2.474011611515192,0.013360535434494041,1104,3312,-0.07287367556377637,0.029725147452005628,True,0.12024481891044637,0.06012240945522319,,*
F1,0.057110371983903674,0.037054072422797006,1.541271127563493,0.12325081278102733,2279,6837,-0.018527433797337803,0.012260458806242687,True,1.0,0.2773143287573115,,
I1,0.11411730490944505,0.03215862614394816,3.5485752531415415,0.0003873213052429593,2279,6837,-0.03762692048568437,0.010614188417090855,True,0.003485891747186634,0.003485891747186634,***,***
N1,0.050219115700042664,0.054105971195690494,0.9281621712030664,0.35332345385598074,612,1836,-0.016694924738232978,0.017682052577546875,True,1.0,0.5299851807839712,,
SC0,0.04980879294715243,0.041141462892721574,1.210671411394178,0.22602136334304845,1319,3957,-0.017185337584715327,0.01350202138647918,True,1.0,0.4068384540174872,,
SP1,0.02171098255719471,0.034766654198523206,0.6244771910814741,0.53231424510999,2280,6840,-0.007401454442547745,0.011475414871991123,True,1.0,0.6063506503057463,,
